depth_m,b59_ang201,b60_ang201,b61_ang201,b62_ang201,b65_ang201,b67_ang201,b73_ang201,b74_ang201,b76_ang201,b78_ang201
0.600456,0.0371261,0.0375993,0.0353933,0.0351782,0.0296949,0.0270664,0.011651,0.0131122,0.0120755,0.0123561
0.600456,0.0377231,0.036964,0.0355501,0.0355922,0.0296242,0.0273567,0.0116248,0.0115252,0.0120205,0.0118057
0.600456,0.0383184,0.0378535,0.0355615,0.0354571,0.0299012,0.0271186,0.0112086,0.0115525,0.0117278,0.0120473
0.600456,0.0383184,0.0378535,0.0355615,0.0354571,0.0299012,0.0271186,0.0112086,0.0115525,0.0117278,0.0120473
0.600456,0.0383442,0.040061,0.0373015,0.0372416,0.0309465,0.0280623,0.0112664,0.0123841,0.0121889,0.0119833
0.600456,0.0365547,0.0364627,0.0349653,0.0344602,0.0295892,0.0263725,0.0113088,0.0117273,0.0116557,0.0115688
0.603504,0.0365547,0.0364627,0.0349653,0.0344602,0.0295892,0.0263725,0.0113088,0.0117273,0.0116557,0.0115688
0.62992,0.0373276,0.0381511,0.0356868,0.0365972,0.0301369,0.0278865,0.0103515,0.0111473,0.0112189,0.0113052
0.618744,0.036662,0.036112,0.0349854,0.0357608,0.0296602,0.0254987,0.0108628,0.0114706,0.0111647,0.0113814
0.621792,0.0353324,0.0352471,0.0344294,0.0345329,0.0283193,0.0260136,0.0112903,0.0116896,0.0115541,0.0114843
0.649224,0.0341385,0.0333887,0.0322836,0.0332305,0.0271698,0.0238035,0.0103587,0.0111944,0.011154,0.0113422
0.637032,0.0352392,0.0342655,0.0331432,0.0340221,0.0277176,0.0243468,0.011509,0.0119154,0.0119151,0.0117317
0.615696,0.0352954,0.035794,0.0335741,0.0340611,0.0285769,0.02588,0.0111018,0.0124088,0.0116443,0.0115319
0.597408,0.0369267,0.0375816,0.0349245,0.0350913,0.0297382,0.0272092,0.0111195,0.0114374,0.0124143,0.0124146
0.597408,0.0357987,0.0353167,0.0345173,0.0341205,0.0281181,0.0252205,0.0104756,0.0112823,0.0112571,0.0112278
0.597408,0.0348217,0.0352993,0.0337198,0.0341115,0.0284867,0.0259069,0.0101683,0.0115682,0.0112307,0.011473
0.597408,0.0351773,0.0348354,0.0335335,0.0329889,0.0279873,0.0253574,0.0120332,0.0116795,0.0122982,0.0119052
0.597408,0.0354256,0.0360609,0.0339117,0.0336923,0.0292822,0.0262026,0.0115973,0.0115286,0.01202,0.0117583
0.597408,0.0404032,0.0407996,0.0392529,0.0385244,0.0331203,0.0298903,0.0120243,0.0127458,0.0121257,0.0126052
0.597408,0.0383397,0.0391209,0.0370471,0.0368403,0.0313948,0.0287542,0.0123535,0.0125066,0.0122114,0.0123497
0.597408,0.0377336,0.0392226,0.036196,0.0364231,0.0315905,0.0282758,0.011831,0.0120232,0.011845,0.0117458
0.597408,0.0373471,0.0371902,0.0353719,0.0350389,0.0296091,0.0273785,0.0112073,0.0123506,0.0118848,0.0119385
0.597408,0.0380111,0.0382483,0.0364913,0.0356725,0.0311552,0.0276739,0.0117752,0.0124612,0.0124494,0.0122307
0.59436,0.0384633,0.0390687,0.0360747,0.0360933,0.0307839,0.0287584,0.0118234,0.0119751,0.0116647,0.0117418
0.59944,0.038928,0.0383116,0.0370445,0.0362757,0.0321932,0.0272956,0.0114461,0.0120336,0.0122135,0.0119928
0.606552,0.0396613,0.0382736,0.0368228,0.0365621,0.0314804,0.0274491,0.0107548,0.0116559,0.0122518,0.0120065
0.606552,0.0389294,0.0384406,0.0369798,0.0372243,0.0309288,0.0278755,0.0119427,0.0115152,0.0116654,0.0114708
0.606552,0.0382755,0.0389112,0.0368216,0.0361592,0.0307153,0.027456,0.0108035,0.0112893,0.0109658,0.0112652
0.606552,0.0377112,0.0383902,0.0367007,0.0374762,0.031368,0.0270742,0.0104417,0.0120411,0.0110049,0.0112488
0.606552,0.0375762,0.0370574,0.0364733,0.03634,0.0313581,0.0271313,0.0109114,0.0114156,0.0106614,0.0110978
0.606552,0.0388449,0.038097,0.0371852,0.0368135,0.0315304,0.0281572,0.0110089,0.0113589,0.0111494,0.0115229
0.606552,0.0389375,0.0385961,0.0376517,0.0371287,0.031105,0.0285965,0.0112007,0.0114948,0.0117026,0.011641
0.606552,0.038638,0.0378205,0.0368376,0.0365525,0.0305972,0.0269888,0.010708,0.0116195,0.0116356,0.0116013
0.600456,0.0381596,0.0375573,0.037005,0.0361977,0.0309913,0.0275698,0.0115686,0.0109304,0.0117652,0.0112522
0.603504,0.0377948,0.0376678,0.0365704,0.0359107,0.0311756,0.0277324,0.0114835,0.0121353,0.0118819,0.0121396
0.603504,0.0365241,0.0363792,0.0354158,0.0348157,0.0294422,0.026899,0.0117579,0.0115188,0.0121677,0.0119864
0.612648,0.0353853,0.0365555,0.0341524,0.0345632,0.0282649,0.0266142,0.0112924,0.0112555,0.0116394,0.0118325
0.614172,0.0353853,0.0365555,0.0341524,0.0345632,0.0282649,0.0266142,0.0112924,0.0112555,0.0116394,0.0118325
0.569976,0.040552,0.0389355,0.0375309,0.0374719,0.0322384,0.0285145,0.0118269,0.0117822,0.0111515,0.0114732
0.569976,0.0365956,0.036721,0.0358263,0.0358897,0.030166,0.0265132,0.0109826,0.0116542,0.0116089,0.0116913
0.569976,0.0360791,0.0366454,0.0345282,0.0344136,0.0293442,0.0265863,0.0105419,0.0110808,0.0116493,0.0112401
0.569976,0.0366574,0.0367802,0.0358285,0.0351201,0.0299695,0.0272402,0.0117029,0.0110897,0.0117734,0.0119427
0.569976,0.0369292,0.0375411,0.0357386,0.0352328,0.0298067,0.0271238,0.0115321,0.0110752,0.0113195,0.0115739
0.569976,0.0358043,0.035611,0.0341541,0.0345095,0.0294182,0.0264262,0.0112524,0.0109353,0.010752,0.010848
0.569976,0.039222,0.0386488,0.0374503,0.0372147,0.0317673,0.0288574,0.0097443,0.0114993,0.0118867,0.0117956
0.569976,0.0364418,0.0362117,0.0346505,0.0344664,0.0301381,0.0262504,0.0096193,0.0104253,0.0109352,0.0108818
0.569976,0.0365166,0.0365507,0.0345087,0.0342765,0.0295971,0.0263441,0.0101315,0.0112602,0.0116486,0.0111969
0.569976,0.0385248,0.0375562,0.0368191,0.0363294,0.030559,0.0280244,0.0107194,0.0110408,0.0108603,0.0105732
0.566928,0.0364232,0.0365499,0.0349917,0.0353183,0.0297547,0.0277048,0.0112737,0.0112857,0.0109694,0.0108891
0.569976,0.0386791,0.0380662,0.0369671,0.036699,0.0315587,0.027045,0.0101701,0.0103011,0.010198,0.0101154
0.56388,0.0360842,0.0366832,0.0339395,0.0341891,0.0296858,0.0261808,0.0092108,0.0104703,0.0103834,0.0104486
0.56388,0.0367184,0.0368125,0.0348926,0.0347256,0.0296284,0.0258962,0.0094835,0.0104178,0.0109001,0.0107447
0.56388,0.0377087,0.0377612,0.0356843,0.0363276,0.0304228,0.0271201,0.0101969,0.011382,0.0107877,0.0105839
0.56388,0.0385916,0.0385618,0.0370156,0.0366793,0.03013,0.0264627,0.0100645,0.0101285,0.0102364,0.0103035
0.56388,0.0385916,0.0385618,0.0370156,0.0366793,0.03013,0.0264627,0.0100645,0.0101285,0.0102364,0.0103035
